,Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Mn,Zr,Nb,Mo,Hf,Ta,W,Ce,Pr,Gd,U,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Coercivity,Curie Temp,Core Loss,Electrical Resistivity,Permeability,Magnetostriction,Magnetic Saturation,Grain Diameter,Reference DOI
506,81.5,4.0,0,0.0,13.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,638.0,3600.0,,672.0,798.0,0.0,0.0,20.0,79.16819159,,,,,,1.6703166230000002,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
507,81.5,4.0,0,0.0,13.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,653.0,3600.0,,672.0,798.0,0.0,0.0,20.0,242.94459780000003,,,,,,1.72994723,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
508,81.5,4.0,0,0.0,13.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,668.0,3600.0,,672.0,798.0,0.0,0.0,20.0,218.33855649999998,,,,,,1.75,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
509,81.5,4.0,0,0.0,13.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,683.0,3600.0,,672.0,798.0,0.0,0.0,20.0,193.62281140000002,,,,,,1.75,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
510,81.5,4.0,0,0.0,13.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,3600.0,,672.0,798.0,0.0,0.0,20.0,191.05544540000002,,,,,,1.750527704,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
511,81.5,4.0,0,0.0,13.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.0,3600.0,,672.0,798.0,0.0,0.0,20.0,183.5558017,,,,,,1.750527704,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
512,81.3,4.0,0,0.0,13.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,638.0,3600.0,,639.0,795.0,0.0,0.0,20.0,8.406934837,,,,,,1.719920844,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
513,81.3,4.0,0,0.0,13.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,653.0,3600.0,,639.0,795.0,0.0,0.0,20.0,7.258879136,,,,,,1.750527704,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
514,81.3,4.0,0,0.0,13.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,668.0,3600.0,,639.0,795.0,0.0,0.0,20.0,7.162629116000001,,,,,,1.770580475,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
515,81.3,4.0,0,0.0,13.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,683.0,3600.0,,639.0,795.0,0.0,0.0,20.0,7.969833993,,,,,,1.775329815,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
516,81.3,4.0,0,0.0,13.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,3600.0,,639.0,795.0,0.0,0.0,20.0,16.38674719,,,,,,1.780079156,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
517,81.3,4.0,0,0.0,13.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.0,3600.0,,639.0,795.0,0.0,0.0,20.0,37.48979309,,,,,,1.7748021109999998,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
518,81.0,4.0,0,0.0,13.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,638.0,3600.0,,630.0,791.0,0.0,0.0,20.0,5.558115102,,,,,,1.709894459,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
519,81.0,4.0,0,0.0,13.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,653.0,3600.0,,630.0,791.0,0.0,0.0,20.0,8.406934837,,,,,,1.739973615,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
520,81.0,4.0,0,0.0,13.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,668.0,3600.0,,630.0,791.0,0.0,0.0,20.0,10.83384477,,,,,,1.760026385,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
521,81.0,4.0,0,0.0,13.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,683.0,3600.0,,630.0,791.0,0.0,0.0,20.0,12.54731279,,,,,,1.769525066,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
522,81.0,4.0,0,0.0,13.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,3600.0,,630.0,791.0,0.0,0.0,20.0,21.98006566,,,,,,1.770580475,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
523,81.0,4.0,0,0.0,13.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.0,3600.0,,630.0,791.0,0.0,0.0,20.0,142.43712150000002,,,,,,1.7674142480000001,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
524,78.0,13.0,0,0.0,8.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,833.0,3600.0,,704.0,802.0,0.0,0.0,,,,,,,,1.55370844,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x
525,77.0,13.0,0,0.0,8.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0,0.0,0,0,0,0,0,833.0,3600.0,,768.0,962.0,0.0,0.0,,,,,,,,1.511508951,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x
526,76.0,13.0,0,0.0,8.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.0,0.0,0,0.0,0,0,0,0,0,833.0,3600.0,,751.0,911.0,0.0,0.0,,,,,,,,1.400255754,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x
527,75.0,13.0,0,0.0,8.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,833.0,3600.0,,768.0,962.0,0.0,0.0,,,,,,,,1.246803069,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x
589,73.5,17.5,0,0.0,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,1800.0,,775.0,983.0,0.0,0.0,,1.891494253,,,,,,1.23,11.60357143,https://www.sciencedirect.com/science/article/pii/S0022309314006759
590,73.3,17.5,0,0.2,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,1800.0,,776.0,988.0,0.0,0.0,,1.84,,,,,,1.22,11.0025,https://www.sciencedirect.com/science/article/pii/S0022309314006759
591,73.1,17.5,0,0.4,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,1800.0,,770.0,990.0,0.0,0.0,,1.729655172,,,,,,1.2,10.89964286,https://www.sciencedirect.com/science/article/pii/S0022309314006759
592,72.9,17.5,0,0.6,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,1800.0,,765.0,993.0,0.0,0.0,,1.227586207,,,,,,1.17,10.85142857,https://www.sciencedirect.com/science/article/pii/S0022309314006759
593,72.7,17.5,0,0.8,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,1800.0,,764.0,993.0,0.0,0.0,,1.03816092,,,,,,1.14,10.60071429,https://www.sciencedirect.com/science/article/pii/S0022309314006759
594,72.5,17.5,0,1.0,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,1800.0,,760.0,994.0,0.0,0.0,,2.060689655,,,,,,1.13,12.40392857,https://www.sciencedirect.com/science/article/pii/S0022309314006759
595,72.0,4.8,0,0.0,19.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4.0,0.0,0,0.0,0,0,0,0,0,473.0,3600.0,,,,0.0,0.0,,56.14,,,,,,0.32,,https://link.springer.com/article/10.1007%2Fs00339-014-8729-0
596,72.0,4.8,0,0.0,19.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4.0,0.0,0,0.0,0,0,0,0,0,673.0,3600.0,,,,0.0,0.0,,44.25,,,,,,0.34,,https://link.springer.com/article/10.1007%2Fs00339-014-8729-0
597,72.0,4.8,0,0.0,19.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4.0,0.0,0,0.0,0,0,0,0,0,873.0,3600.0,,,,0.0,0.0,,69.17,,,,,,0.19,,https://link.springer.com/article/10.1007%2Fs00339-014-8729-0
698,73.5,3.5,0,0.0,9.0,0.0,0,10.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,573.0,3600.0,,721.0,940.0,0.0,0.0,,6.96373057,,,,,,0.873214286,,https://www.sciencedirect.com/science/article/pii/S0921452604009469?via%3Dihub
699,73.5,3.5,0,0.0,9.0,0.0,0,10.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,673.0,3600.0,,721.0,940.0,0.0,0.0,,1.227979275,,,,,,1.155357143,,https://www.sciencedirect.com/science/article/pii/S0921452604009469?via%3Dihub
701,73.5,3.5,0,0.0,9.0,0.0,0,10.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,773.0,3600.0,,721.0,940.0,0.0,0.0,,2.020725389,,,,,,0.9875,,https://www.sciencedirect.com/science/article/pii/S0921452604009469?via%3Dihub
832,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,773.0,3600.0,,,,0.0,0.0,30.0,,650.0,,,,18.21561338,0.846086957,8.5,https://doi.org/10.1109/20.825825
833,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,30.0,,664.0,,,,8.983613327999999,1.267313218,8.5,https://doi.org/10.1109/20.825825
834,73.5,16.5,0,0.0,6.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,803.0,3600.0,,,,0.0,0.0,30.0,,715.0,,,,0.596956811,1.188990826,8.5,https://doi.org/10.1109/20.825825
930,77.0,11.0,0,0.0,9.0,0.0,0,0.0,0.6,0.0,0.0,0.0,0,0.0,0,0,0.0,2.4,0.0,0,0.0,0,0,0,0,0,,,,,,,,18.0,0.8,,380.0,,157000.0,,1.45,,https://doi.org/10.4028/www.scientific.net/MSF.307.51
931,76.9,11.0,0,0.0,9.0,0.0,0,0.0,0.6,0.0,0.0,0.0,0,0.0,0,0,0.0,2.5,0.0,0,0.0,0,0,0,0,0,,,,,,,,18.0,0.7,,350.0,,209100.0,,1.45,,https://doi.org/10.4028/www.scientific.net/MSF.307.51
932,77.0,11.0,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.0,0.0,0,0.0,0,0,0,0,0,,,,,,,,18.0,1.4,,430.0,,52300.0,,1.45,,https://doi.org/10.4028/www.scientific.net/MSF.307.51
933,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,,,,,,,,18.0,0.45,,250.0,,158000.0,,1.24,,https://doi.org/10.4028/www.scientific.net/MSF.307.51
955,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,,,,0.0,0.0,23.0,0.32492469399999996,,,,,,0.877016653,,https://doi.org/10.1016/S0304-8853(99)00600-9
965,70.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,3,0,0,0,298.0,,,,,0.0,0.0,,48.0,,,,,16.0,1.2,,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
966,70.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,3,0,0,0,823.0,3600.0,,,,0.0,0.0,,33.0,,,,,,1.2,,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
967,68.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,5,0,0,0,298.0,,,,,0.0,0.0,,36.0,,,,,19.0,1.13,,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
968,68.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,5,0,0,0,823.0,3600.0,,,,0.0,0.0,,35.0,,,,,,1.1,,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
969,66.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,7,0,0,0,298.0,,,,,0.0,0.0,,31.0,,,,,22.0,0.88,,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
970,66.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,7,0,0,0,823.0,3600.0,,,,0.0,0.0,,42.0,,,,,,0.9,,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
971,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,20.0,0.5,,,,,,1.4909274190000001,10.32124352,https://doi.org/10.1016/S0304-8853(00)00132-3
972,71.5,13.5,0,2.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,20.0,0.32080924899999996,,,,,,1.3215725809999999,9.637305699,https://doi.org/10.1016/S0304-8853(00)00132-3
973,69.5,13.5,0,4.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,20.0,0.321965318,,,,,,1.282258065,9.948186527999999,https://doi.org/10.1016/S0304-8853(00)00132-3
974,68.5,13.5,0,5.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,20.0,0.31040462399999996,,,,,,1.191532258,10.32124352,https://doi.org/10.1016/S0304-8853(00)00132-3
975,67.0,13.5,0,6.5,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,20.0,0.293063584,,,,,,1.094758065,9.823834197,https://doi.org/10.1016/S0304-8853(00)00132-3
976,65.5,13.5,0,8.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,20.0,0.31156069399999997,,,,,,1.094758065,9.544041451,https://doi.org/10.1016/S0304-8853(00)00132-3
977,63.5,13.5,0,10.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,20.0,0.401734104,,,,,,0.877016129,10.41450777,https://doi.org/10.1016/S0304-8853(00)00132-3
1095,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,298.0,,887.0,1068.0,,0.0,0.0,30.0,11.15,,,,,,0.99,,https://doi.org/10.1007/s11741-000-0017-x
1096,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,773.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,1.86,,,,,,1.25,,https://doi.org/10.1007/s11741-000-0017-x
1097,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,4.32,,,,,,1.26,,https://doi.org/10.1007/s11741-000-0017-x
1155,69.5,13.5,0,4.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,833.0,3600.0,,,,0.0,0.0,20.0,,,,,,,1.160379818,,https://doi.org/10.1016/S0022-3093(01)00546-4
1156,67.5,13.5,0,6.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,833.0,3600.0,,,,0.0,0.0,20.0,,,,,,,1.1108476090000001,,https://doi.org/10.1016/S0022-3093(01)00546-4
1359,73.5,3.5,0,0.0,9.0,0.0,0,10.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,298.0,3600.0,,766.0,966.0,0.0,0.0,,7.265512112000001,,,,,,1.1530590859999998,,https://doi.org/10.1016/j.physb.2004.09.050
1360,73.5,3.5,0,0.0,9.0,0.0,0,10.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,573.0,3600.0,,766.0,966.0,0.0,0.0,,6.936676583,,,,,,0.872936342,,https://doi.org/10.1016/j.physb.2004.09.050
1361,73.5,3.5,0,0.0,9.0,0.0,0,10.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,673.0,3600.0,,766.0,966.0,0.0,0.0,,1.275127497,,,,,,1.154908418,,https://doi.org/10.1016/j.physb.2004.09.050
1363,73.5,3.5,0,0.0,9.0,0.0,0,10.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,773.0,3600.0,,766.0,966.0,0.0,0.0,,2.036708457,,,,,,0.986139537,,https://doi.org/10.1016/j.physb.2004.09.050
